User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Aesthetically Saru!-GifTuber,@Sarushi_BR,2022-11-20T23:39:44.000Z,"Aesthetically Saru!-GifTuber
@Sarushi_BR
·
42sReplying to 
@eaton
 @Divobravo
 and 2 others
Word of advice, maybe yall should refuse him. response with something ""Shouldnt of fire most of the staff that knew how to work this"" It would be setting a precedence of being a responsible business owner instead of being irresponsible.",,,
Kenneth Henson,@Kenneth32261708,2022-11-20T23:39:44.000Z,"Kenneth Henson
@Kenneth32261708
·
42sReplying to 
@Teslaconomics
 and 
@elonmusk
I really don't see how an AI driven company can break down! LMFAO! Do you really think more than a handful of people are really needed to run Twitter? And Elon has like 40k programmers that send rockets into space on speed dial. Jesus everyone has lost their minds!",,,
dookie1890,@dookie1890,2022-11-20T23:39:44.000Z,"dookie1890
@dookie1890
·
42sReplying to 
@elonmusk
Your people.",,,
Darrell Maston,@DarrellGMaston,2022-11-20T23:39:44.000Z,"Darrell Maston
@DarrellGMaston
·
42sReplying to 
@TimRunsHisMouth
 @elonmusk
 and 2 others
Dead reporting is better than their reporting!",,,
Ibrahim Solaiman Fattah,@moein_uk,2022-11-20T23:39:44.000Z,"Ibrahim Solaiman Fattah
@moein_uk
·
42sReplying to 
@elonmusk
Iranian government blocking twitter for people to use in Iran.
Mr Musk Please block all Iranian politicians on Twitter
1",,,1
My pronouns are Big/Luong/Dong,@ChampionLigma,2022-11-20T23:39:43.000Z,"My pronouns are Big/Luong/Dong
@ChampionLigma
·
43sReplying to 
@elonmusk
If Elon Musk reinstate Trump, Im going to leave America for a more civilized Jamaica for a few days!

After a nice vacation there, Ill be back to resume shit posting",,,
The Simpson,@dallasguy2,2022-11-20T23:39:43.000Z,"The Simpson
@dallasguy2
·
47sIs the world's richest person the world's worst boss? What it's like working for Elon Musk
latimes.com
Is the world's richest person the world's worst boss? What it's like working for Elon Musk
Elon Musk's track record as a boss is an endless scroll of impulse firings, retribution, tone-deafness on race -- and the impregnation of a subordinate.",,,
SUNNY JOHNSON,@SUNSHINE179,2022-11-20T23:39:43.000Z,"SUNNY JOHNSON
@SUNSHINE179
·
47sReplying to 
@Csv191
 @AzurekiteM
 and 3 others
I think people should go to where they can afford to live. Caitalism will always say California will cost more to live. We literally have summer weather all year long. If everyone could afford to live here we would be even more crowded. More people need to leave !",,,
PlanetBathWater,@Xaqq4127,2022-11-20T23:39:43.000Z,"PlanetBathWater
@Xaqq4127
·
47sReplying to 
@elonmusk
Not even mad, that is great. You know he wants to LOL",,,
GODBlessAmerica,@MariaSarah2010,2022-11-20T23:39:43.000Z,"GODBlessAmerica
@MariaSarah2010
·
47sReplying to 
@Qurandale
 and 
@elonmusk
Nobody will miss you 
GIF
ALT",,,
David Gay,@DavidBenJesse,2022-11-20T23:39:42.000Z,"David Gay
@DavidBenJesse
·
48sReplying to 
@elonmusk
 and 
@halvorpie
Got it. Nice",,,
Ashes #LetEmKnow,@CavsSuperfanAsh,2022-11-20T23:39:42.000Z,"Ashes #LetEmKnow
@CavsSuperfanAsh
·
48sReplying to 
@TylerHam311
 @3YearLetterman
 and 
@elonmusk
i bet you financed your waterbed. casual",,,
Alex Elliott,@alex_elliott_99,2022-11-20T23:39:42.000Z,"Alex Elliott
@alex_elliott_99
·
48sReplying to 
@elonmusk
 and 
@RaheemKassam
There is no such thing as bad publicity.",,,
Joan,@Joan86281209,2022-11-20T23:39:42.000Z,"Joan
@Joan86281209
·
48sReplying to 
@larryolart
 @elonmusk
 and 
@mtaibbi
When you get your head out of the dark orifice it's in, the Barack Clinton DNC, DOJ and FBI paid a former spy who worked with Russia to create a damaging story, with no smidgen of truth, to destroy a political contender. No one bothered to seek the truth. Who r the authoritarian?",,,
Lumens Bull,@LumensBull,2022-11-20T23:39:42.000Z,"Lumens Bull
@LumensBull
·
48sReplying to 
@elonmusk
Bring Alex Jones back…",,,
André R. Brasil,@AndreRicBrasil,2022-11-20T23:39:41.000Z,"André R. Brasil
@AndreRicBrasil
·
52sMiriam Leitão provoca Elon Musk e toma invertida: “Você chamando alguém de horroroso? O Mundo acabou!”
agoranoticiasbrasil.com.br
Miriam Leitão provoca Elon Musk e toma invertida: “Você chamando alguém de horroroso? O Mundo...
  Neste domingo, a jornalista da Globo News Miriam Leitão é o centro das atenções nas redes sociais. Em resumo, a jornalista que costuma fazer análises sobre economia e constantemente vira chacota...",,,
Oregonpreacher,@oregonpreacher,2022-11-20T23:39:41.000Z,"Oregonpreacher
@oregonpreacher
·
52sReplying to 
@ObamaMalik
 @realDonaldTrump
 and 
@elonmusk
Where was your brother born?",,,
lil stinker,@donewithit2,2022-11-20T23:39:41.000Z,"lil stinker
@donewithit2
·
52sReplying to 
@elonmusk
Yawn",,,
killnet2014,@whitehack35,2022-11-20T23:39:41.000Z,"killnet2014
@whitehack35
·
52sReplying to 
@elonmusk",,,
Schone Zone,@SchoneZone,2022-11-20T23:39:41.000Z,"Schone Zone
@SchoneZone
·
52sReplying to 
@elonmusk
No",,,
Rocky boothe,@RockyBoothe,2022-11-20T23:39:41.000Z,"Rocky boothe
@RockyBoothe
·
52sReplying to 
@TimRunsHisMouth
 and 
@elonmusk
Well bye!",,,
Venn Master,@AbeLopezAuthor,2022-11-20T23:39:41.000Z,"Venn Master
@AbeLopezAuthor
·
52sReplying to 
@elonmusk
It’s inevitable",,,
Menander,@Corporealitus,2022-11-20T23:39:40.000Z,"Menander
@Corporealitus
·
56sReplying to 
@TheMallard98
 @jordanbpeterson
 and 3 others
Not sure how Milo is dangerous, the more he talks the more ridiculous he seems. He's like the conservative Alan Colmes.",,,
whiskey girl,@DarkSunAngel,2022-11-20T23:39:40.000Z,"whiskey girl
@DarkSunAngel
·
56sReplying to 
@elonmusk
 and 
@TimRunsHisMouth",,,
Gary Painman,@PAlNMANGARY,2022-11-20T23:39:40.000Z,"Gary Painman
@PAlNMANGARY
·
56sReplying to 
@DcWalaDesi
 and 
@elonmusk
Brings his cult to the app and makes more money",,,
JKD999,@JanCC86,2022-11-20T23:39:40.000Z,"JKD999
@JanCC86
·
56sReplying to 
@georgehahn
 @DonLew87
 and 
@elonmusk
Is this a recent tweet???",,,
Suuz,@panettone200,2022-11-20T23:39:40.000Z,"Suuz
@panettone200
·
56sReplying to 
@blocking_the
 @Michell54409290
 and 3 others
Lol. He was right about the 1st one.",,,
Yili Longo,@YiliLongo,2022-11-20T23:39:40.000Z,"Yili Longo
@YiliLongo
·
56sReplying to 
@AshleyDCan
 and 
@elonmusk",,,
Steve,@SteveGeorgallis,2022-11-20T23:39:40.000Z,"Steve
@SteveGeorgallis
·
56sReplying to 
@cramercoin
 and 
@elonmusk",,,
Prashun Kumar,@Prashun43188676,2022-11-20T23:39:40.000Z,"Prashun Kumar
@Prashun43188676
·
56sReplying to 
@elonmusk
Please reply me",,,
Stillief,@itreeye,2022-11-20T23:39:40.000Z,"Stillief
@itreeye
·
56sReplying to 
@talker17
 @LPNH
 and 3 others
It isn't if you're a gen x",,,
Bilbo,@Supremeb216,2022-11-20T23:39:40.000Z,"Bilbo
@Supremeb216
·
56sReplying to 
@elonmusk
LMFAO",,,
TUSKEGEE PRIDE,@LitmanChelley,2022-11-20T23:39:39.000Z,"TUSKEGEE PRIDE
@LitmanChelley
·
57sReplying to 
@TheMadSoaper99
 @JermarcusRobin1
 and 2 others
In his mind he's still playing the game Battleship.",,,
Ozymandias,@Ozymand20408931,2022-11-20T23:39:39.000Z,"Ozymandias
@Ozymand20408931
·
57sReplying to 
@vicnanc
 @TomFitton
 and 
@elonmusk
Then 
@elonmusk
 should put a BLOCK icon on the sidebar so it would only take one tap to block somebody. I spend an hour blocking silly people and it would be so nice if it was easier to do so.",,,
Renan Rocha,@renanrochar_,2022-11-20T23:39:39.000Z,"Renan Rocha
@renanrochar_
·
57sReplying to 
@elonmusk
 and 
@HappyJesse
Elon, we love Twitter and Truth. We’re completely happy. Thank you, 
@elonmusk
 and 
@realDonaldtrump",,,
L Sharp 1 Look Out Hill,@1LookOutHill,2022-11-20T23:39:39.000Z,"L Sharp 1 Look Out Hill
@1LookOutHill
·
57sReplying to 
@elonmusk
Do you have a Truth Social Account? 
Because I don’t mind relaxing on my Brother’s Couch and he on mind! It not as comfortable as mine but I have to admit it is not bad!",,,
Dale Snider,@Dale_Snider32,2022-11-20T23:39:39.000Z,"Dale Snider
@Dale_Snider32
·
57sReplying to 
@elonmusk
Let's judge a Cannabis Cup.",,,
Eric Knight,@tweetejk,2022-11-20T23:39:39.000Z,"Eric Knight
@tweetejk
·
57sReplying to 
@WholeMarsBlog
 and 
@elonmusk
LOL, I drive a big dirty diesel truck, and I love 
@elonmusk
 .",,,
Olcay Adal,@OlcayAdal15,2022-11-20T23:39:39.000Z,"Olcay Adal
@OlcayAdal15
·
57sReplying to 
@elonmusk
Thankss a millonnn
TesIa
@TeslaPremium_
Prize of the Day
18
24
6",18,24,6
Mark Akerman,@positional11,2022-11-20T23:39:39.000Z,"Mark Akerman
@positional11
·
57sReplying to 
@elonmusk
Fire CEO :)",,,
God Bless America,@USPatriotDebG,2022-11-20T23:39:39.000Z,"God Bless America
@USPatriotDebG
·
57sReplying to 
@TimRunsHisMouth
 and 
@elonmusk",,,
Ty,@try062090,2022-11-20T23:39:39.000Z,"Ty
@try062090
·
57sReplying to 
@elonmusk
@elonmusk
 have a great idea and your my last hope I’m just trying to keep some faith",,,
Olivier Rochet,@olivier_rochet,2022-11-20T23:39:39.000Z,"Olivier Rochet
@olivier_rochet
·
57sReplying to 
@georgehahn
 and 
@elonmusk
Collector ",,,
Nimbo,@7711555eth,2022-11-20T23:39:39.000Z,"Nimbo
@7711555eth
·
57sReplying to 
@KlondikeNFT
 and 
@elonmusk
Friend of yours?",,,
Wobenzyme,@Sonataquasi,2022-11-20T23:39:39.000Z,"Wobenzyme
@Sonataquasi
·
57sReplying to 
@caslernoel
 and 
@elonmusk
W. H. Y.  ?",,,
FattyCat,@CharIowa1,2022-11-20T23:39:39.000Z,"FattyCat
@CharIowa1
·
57sReplying to 
@KalaKala2019
 @catturd2
 and 
@elonmusk
I'm not surprised. ",,,
Korey T,@TheKoreyT,2022-11-20T23:39:39.000Z,"Korey T
@TheKoreyT
·
57sReplying to 
@LookAndJudge
 @3YearLetterman
 and 
@elonmusk
FIFA is only bigger because it has 4 letters in its name. The NFL has no need for extra letters in its acronym due to its worldwide dominance. Glorified jogging shouldn’t be considered an Olympic sport.",,,
Mark Akerman,@positional11,2022-11-20T23:39:39.000Z,"Mark Akerman
@positional11
·
1mReplying to 
@elonmusk
Fire CEO :)",,,
God Bless America,@USPatriotDebG,2022-11-20T23:39:39.000Z,"God Bless America
@USPatriotDebG
·
1mReplying to 
@TimRunsHisMouth
 and 
@elonmusk",,,
Ty,@try062090,2022-11-20T23:39:39.000Z,"Ty
@try062090
·
1mReplying to 
@elonmusk
@elonmusk
 have a great idea and your my last hope I’m just trying to keep some faith",,,
Olivier Rochet,@olivier_rochet,2022-11-20T23:39:39.000Z,"Olivier Rochet
@olivier_rochet
·
1mReplying to 
@georgehahn
 and 
@elonmusk
Collector ",,,
Nimbo,@7711555eth,2022-11-20T23:39:39.000Z,"Nimbo
@7711555eth
·
1mReplying to 
@KlondikeNFT
 and 
@elonmusk
Friend of yours?",,,
Wobenzyme,@Sonataquasi,2022-11-20T23:39:39.000Z,"Wobenzyme
@Sonataquasi
·
1mReplying to 
@caslernoel
 and 
@elonmusk
W. H. Y.  ?",,,
FattyCat,@CharIowa1,2022-11-20T23:39:39.000Z,"FattyCat
@CharIowa1
·
1mReplying to 
@KalaKala2019
 @catturd2
 and 
@elonmusk
I'm not surprised. ",,,
Korey T,@TheKoreyT,2022-11-20T23:39:39.000Z,"Korey T
@TheKoreyT
·
1mReplying to 
@LookAndJudge
 @3YearLetterman
 and 
@elonmusk
FIFA is only bigger because it has 4 letters in its name. The NFL has no need for extra letters in its acronym due to its worldwide dominance. Glorified jogging shouldn’t be considered an Olympic sport.",,,
MoninaRenee,@MoninaRenee,2022-11-20T23:39:39.000Z,"MoninaRenee
@MoninaRenee
·
1mReplying to 
@lanceaprice
 and 
@elonmusk
I’m not buying anything he sells!",,,
Uncle VT,@UncleVT,2022-11-20T23:39:39.000Z,"Uncle VT
@UncleVT
·
1mReplying to 
@RepMTG
 @laralogan
 and 
@elonmusk
@elonmusk
 this is horse shit.  Reinstate MTG or ban the Ayatollah.",,,
charlie,@charlie46757204,2022-11-20T23:39:38.000Z,"charlie
@charlie46757204
·
1mReplying to 
@elonmusk
More fun",,,
Kevin Sproul,@KevinSproul,2022-11-20T23:39:38.000Z,"Kevin Sproul
@KevinSproul
·
1mReplying to 
@JoJoFromJerz
 and 
@elonmusk
You are just upset that we are winning.",,,
Michael X The Roman Emperor,@KingofTheRomanX,2022-11-20T23:39:38.000Z,"Michael X The Roman Emperor
@KingofTheRomanX
·
1mlol 
@elonmusk
 if we go by how twitter suspended people before us, that is a suspension for hate speech offense
Quote Tweet
Josh Gad
@joshgad
·
22h
You are truly an asshole and an anarchist. twitter.com/elonmusk/statu…",,,
Mr. Medina,@thatonemedina,2022-11-20T23:39:38.000Z,"Mr. Medina
@thatonemedina
·
1mReplying to 
@georgehahn
 and 
@elonmusk
Because he will allow speech you disagree with? Do you realize how despotic you truly are?

Maybe take some time and do some self reflections
GIF
ALT",,,
Carolus Maximus,@CarolusMax,2022-11-20T23:39:38.000Z,"Carolus Maximus
@CarolusMax
·
1mReplying to 
@HappyJesse
 and 
@elonmusk
Canabalt plays smoother on my Steam Deck than Call of Duty

Will Twitter improve on this ?",,,
Richard Podzemny,@RichardPodzemny,2022-11-20T23:39:38.000Z,"Richard Podzemny
@RichardPodzemny
·
1mReplying to 
@elerictronico
 and 
@elonmusk
Jack white is a racist name",,,
Jordan,@ownsthelibs,2022-11-20T23:39:38.000Z,"Jordan
@ownsthelibs
·
1mReplying to 
@MaerRoshan
 @RubinReport
 and 
@elonmusk
Yes",,,
The Little Prince Me,@TLPrinceitisme,2022-11-20T23:39:38.000Z,"The Little Prince Me
@TLPrinceitisme
·
1mReplying to 
@catturd2
 and 
@elonmusk
Speak for yourself. Thanks",,,
Patricia Pearson,@Patrici02004557,2022-11-20T23:39:38.000Z,"Patricia Pearson
@Patrici02004557
·
1mReplying to 
@LabradorYuki
 and 
@elonmusk
I was born in a country where free speech is the foundation of our society.  I love freedom, even if I must listen to those with whom I disagree. When free I can either compromise, change my mind, or respectively disagree. Freedom for ALL.",,,
Dwight Dexter,@DwightDexter2,2022-11-20T23:39:37.000Z,"Dwight Dexter
@DwightDexter2
·
1mReplying to 
@JohnBrandle1
 and 
@elonmusk
Facebook jail means nothing now that I joined Twitter. So now am I a Twit or a Twitface? Maybe a Twater?",,,
Roberta Manier,@robertalueckel,2022-11-20T23:39:37.000Z,"Roberta Manier
@robertalueckel
·
1mReplying to 
@elonmusk
The olive branch.",,,
Muhammad Imran,@Mianimranali12,2022-11-20T23:39:37.000Z,"Muhammad Imran
@Mianimranali12
·
1mReplying to 
@elonmusk
@elonmusk
 You Hero",,,
Zoe's Inner Monolog,@15PeopleInARoom,2022-11-20T23:39:37.000Z,"Zoe's Inner Monolog
@15PeopleInARoom
·
1mReplying to 
@elonmusk
Allright, that is kind of funny. And damn, you know it is killing him.",,,
Dan Slott,@DanSlott,2022-11-20T23:39:37.000Z,"Dan Slott
@DanSlott
·
1mReplying to 
@LegoSpacecraft
Yet if you make jokes and mock Elon Musk, you could get your account suspended.
If you do it on Twitter's Slack channel, your name could be brought to his attention and you could get fired.
Twitter and privately owned platforms are NOT free speech.
See?",,,
Phorensick,@PJHemmerich,2022-11-20T23:39:37.000Z,"Phorensick
@PJHemmerich
·
1mReplying to 
@FIFAWorldCup
 and 
@elonmusk
Does Infantino still feel gay today?",,,
Knowledge base,@thedeadoness,2022-11-20T23:39:36.000Z,"Knowledge base
@thedeadoness
·
1mQuitting Elon Musk's Twitter? Here's how to join Mastodon - Axios - https://goo.gl/alerts/qvR4Z4 #GoogleAlerts
axios.com
Quitting Elon Musk's Twitter? Here's how to join Mastodon
Mastodon looks a lot like Twitter, but it's not a company, and that could make all the difference.",,,
DMW1776,@dmw1776,2022-11-20T23:39:36.000Z,"DMW1776
@dmw1776
·
1mReplying to 
@elonmusk
 and 
@nypost
@CBSNewsPress
 is virtue signaling for the left as usual. Yawn....",,,
salarzai,@salarzai92,2022-11-20T23:39:36.000Z,"salarzai
@salarzai92
·
1mReplying to 
@elonmusk
Dogecoin please",,,
Johnston banks,@Johnstonbanks3,2022-11-20T23:39:36.000Z,"Johnston banks
@Johnstonbanks3
·
1mReplying to 
@elonmusk
 and 
@TomFitton
Nope it starts with the fbi….you’re being followed I’m sure!",,,
Nicholas “parody”,@Enki4life,2022-11-20T23:39:36.000Z,"Nicholas “parody”
@Enki4life
·
1mReplying to 
@elonmusk
Actions have consequences maybe just thinking before he speaks",,,
Black_Thrilla,@Eddie27320,2022-11-20T23:39:36.000Z,"Black_Thrilla
@Eddie27320
·
1mReplying to 
@elonmusk
If he comes back to twitter then he knows his own platform is a failure",,,
Jack Straw @ civil_unrest21,Jack Straw @ civil_unrest21,2022-11-20T23:39:36.000Z,"Jack Straw @ civil_unrest21
@civil_unrest21
·
1mReplying to 
@elonmusk",,,
(blank) Age,@Oopral,2022-11-20T23:39:36.000Z,"(blank) Age
@Oopral
·
1mReplying to 
@buki_loco
 @RachJnr1
 and 
@elonmusk
That’s exactly what old Twitter wanted. Thankfully Ironman snapped everyone back in New Twitter!",,,
LEWISHAMILTON FAN,@JENNWREN6197,2022-11-20T23:39:35.000Z,"LEWISHAMILTON FAN
@JENNWREN6197
·
1mReplying to 
@elonmusk
 and 
@GamezPwyll
PURE EVIL 
1",,,1
Julian Milecki,@JulianMilecki,2022-11-20T23:39:35.000Z,"Julian Milecki
@JulianMilecki
·
1mReplying to 
@TomaszBorowik4
 and 
@elonmusk
youtube.com
QATAR Before and Now Short History of Qatar
Qatar before and after oil qatar history timelinedoha qatar",,,
Benita,@James_yong1,2022-11-20T23:39:35.000Z,"Benita
@James_yong1
·
1mReplying to 
@elonmusk
Elon Musk spent $44 Billion on Twitter. The World's population is 8 billion. He could have given each person $5 billion and still have money leftover. I feel like a cheque for $5 billion would be life changing for most people. Yet he wasted it all on Twitter, what a shame.
1",,,1
Janice (kyah’s mom) C.,@janicecarter,2022-11-20T23:39:35.000Z,"Janice (kyah’s mom) C.
@janicecarter
·
1mReplying to 
@notrealpain
 and 
@elonmusk
GIF",,,
moon mission,@startv61383181,2022-11-20T23:39:35.000Z,"moon mission
@startv61383181
·
1mReplying to 
@LambentMonkey
 @MattWallace888
 and 2 others
Are you American?
1",1,,
Lolita Grant,@LolitaG12083525,2022-11-20T23:39:35.000Z,"Lolita Grant
@LolitaG12083525
·
1mReplying to 
@elonmusk
I uninstalled my Twitter Ap in November of 2020; and, RAN BACK, when 
@elonmusk
 took the helm. ",,,
Modest Blouse,@kawaiihooker,2022-11-20T23:39:35.000Z,"Modest Blouse
@kawaiihooker
·
1mReplying to 
@elonmusk
This is so pathetic. Senpai doesn’t want your app.",,,
kory,@kory04739732,2022-11-20T23:39:34.000Z,"kory
@kory04739732
·
1mReplying to 
@EveryoneSaysHi1
 @svtjess
 and 4 others
What was the difficult question or accusation here though?",,,
NEW AMERICA,@TheNewAmerica77,2022-11-20T23:39:34.000Z,"NEW AMERICA
@TheNewAmerica77
·
1mReplying to 
@elonmusk
How about Dr.Malone? Perhaps he should prescribe medicine for 
@realDonaldTrump
 to get back on twitter…It makes no sense not to hear 100% opposite side on covid/vaxxs main stream rhetoric. Reinstate Dr.Malone. Thank you in advice #newamerica",,,
Robert Brett Xavier Walsh,@RobertBrettXav1,2022-11-20T23:39:34.000Z,"Robert Brett Xavier Walsh
@RobertBrettXav1
·
1mReplying to 
@elonmusk
 and 
@kanyewest
My two best friends!",,,
@HollandoF@mastodon.world,@HollandoF@mastodon.world,2022-11-20T23:39:34.000Z,"@HollandoF@mastodon.world
@HollandoF
·
1mReplying to 
@elonmusk
youtube.com
""We Belong Dead"" (Final Scene) | The Bride of Frankenstein (1935)
The final heartbreaking words from Frankenstein to his bride.From The Bride of Frankenstein (1935): Frankenstein, a scientist decides to leave his evil exper...",,,
×͜×,@Thimblesworth,2022-11-20T23:39:34.000Z,"×͜×
@Thimblesworth
·
1mReplying to 
@WaitingOnASong
 and 
@elonmusk
No you won't.",,,
Douglas W. Jackson,@TheSilkHammer,2022-11-20T23:39:34.000Z,"Douglas W. Jackson
@TheSilkHammer
·
1mReplying to 
@elonmusk",,,
BenInCalifornia,@BDiCarlo2022,2022-11-20T23:39:34.000Z,"BenInCalifornia
@BDiCarlo2022
·
1mReplying to 
@elonmusk
 and 
@kanyewest
Ain’t nothing about you anybody loves",,,
VogueNazis Work in AI,@NaziVogue,2022-11-20T23:39:34.000Z,"VogueNazis Work in AI
@NaziVogue
·
1mReplying to 
@KlondikeNFT
 and 
@elonmusk
This frightens.",,,
David,@David07501253,2022-11-20T23:39:34.000Z,"David
@David07501253
·
1mReplying to 
@elonmusk
Leftist narrow little minds explode!",,,
Natalie Hughes,@Natalie47539498,2022-11-20T23:39:33.000Z,"Natalie Hughes
@Natalie47539498
·
1mReplying to 
@Cobratate
 and 
@elonmusk
You are poor",,,
𝐋𝐄𝐀 𝐆𝐀𝐙𝐄𝐋𝐋𝐄,@Leagazelle7,2022-11-20T23:39:33.000Z,"𝐋𝐄𝐀 𝐆𝐀𝐙𝐄𝐋𝐋𝐄
@Leagazelle7
·
1mReplying to 
@trinidadMNovo
 @elonmusk
 and 
@realDonaldTrump
Bye!",,,
D MAN,@dwight1009,2022-11-20T23:39:33.000Z,"D MAN
@dwight1009
·
1m@elonmusk
  why did I get blocked for my Biden picture and this person didn’t get blocked for this picture? Double standard?",,,
Real Jim Clinton,@takeit2em,2022-11-20T23:39:33.000Z,"Real Jim Clinton
@takeit2em
·
1mReplying to 
@michaeldreikorn
 and 
@elonmusk
If you want to hear from Trump, the only place is at 
@truthsocial
 and that's it",,,
Allen Holt,@holt_rmgk10,2022-11-20T23:39:33.000Z,"Allen Holt
@holt_rmgk10
·
1mReplying to 
@WholeMarsBlog
 and 
@elonmusk
Who are you?",,,
Charlie Burchardt,@MrTacticalPizza,2022-11-20T23:39:33.000Z,"Charlie Burchardt
@MrTacticalPizza
·
1mReplying to 
@elonmusk
nailed it",,,
StosselsStacheReturns,@StosselsR,2022-11-20T23:39:33.000Z,"StosselsStacheReturns
@StosselsR
·
1mReplying to 
@tomdelonge
 and 
@elonmusk
You should probably stick to shitty vocals and power chords",,,
Chris,@Chris_On_Twitt,2022-11-20T23:39:33.000Z,"Chris
@Chris_On_Twitt
·
1mReplying to 
@nickbilton
 and 
@elonmusk
Talk about missing the point",,,
Patsy,@JohnSmithJr147,2022-11-20T23:39:33.000Z,"Patsy
@JohnSmithJr147
·
1mReplying to 
@Tex2_A
 @ZekeGary2
 and 
@elonmusk
Maybe...but I bet a lot of bots voted...Twitters version of dead people voting",,,
abdullah,@BehtareenInsan,2022-11-20T23:39:33.000Z,"abdullah
@BehtareenInsan
·
1mReplying to 
@HappyJesse
 and 
@elonmusk
2
12",,2,12
K,@MySoCalledWifi,2022-11-20T23:39:32.000Z,"K
@MySoCalledWifi
·
1mReplying to 
@elonmusk
Weird flex, super weird.",,,
Dagrayelephant,@dagrayelephant,2022-11-20T23:39:32.000Z,"Dagrayelephant
@dagrayelephant
·
1mReplying to 
@elonmusk
But that means evidence gets saved for all time!?!?!?!!!!  Guess his lawyers encourage him to really weigh that before giving him his pw",,,
flyboytyler,@flyboytyler,2022-11-20T23:39:32.000Z,"flyboytyler
@flyboytyler
·
1mReplying to 
@flyboytyler
 @creckling
 and 
@elonmusk
Still there after the update.",,,
Tyler Backes,@TylerBackes2,2022-11-20T23:39:32.000Z,"Tyler Backes
@TylerBackes2
·
1mReplying to 
@SereneWinters
 @Explodingfists
 and 4 others
Keep crying Lefty. ",,,
The Daily Gunner,@TheDailyGunner,2022-11-20T23:39:32.000Z,"The Daily Gunner
@TheDailyGunner
·
1mReplying to 
@TWFoodLover
 and 
@elonmusk
And a lack of actual research on the “Ligma/Johnson” situation proves that you are willing to comment on something you know nothing about, with righteous indignation I might add, to your own folly.",,,
@BradRyan,@BradRyan,2022-11-20T23:39:32.000Z,"@BradRyan
@KeepStackinXLM
·
1mReplying to 
@elonmusk
LMFAO!!! LETS GO!!!!!",,,
Matthew M@tch Ray,Matthew M@tch Ray,2022-11-20T23:39:32.000Z,"Matthew M@tch Ray
@Matchiam
·
1mReplying to 
@richmacwest
 and 
@elonmusk
and come get an Observer time slot and then I’ll keep working business as usual while you eat crow",,,
Nilson Nunes,@nnunesjr,2022-11-20T23:39:32.000Z,"Nilson Nunes
@nnunesjr
·
1mReplying to 
@elonmusk
1",,,1
Funky Pantz,@funkywitsauce,2022-11-20T23:39:32.000Z,"Funky Pantz
@funkywitsauce
·
1mReplying to 
@elonmusk",,,
The_right_thinks_memes_are_facts,@Politicallyexp2,2022-11-20T23:39:32.000Z,"The_right_thinks_memes_are_facts
@Politicallyexp2
·
1mAre we surprised that an apartheid colonist like .
@elonmusk
 would be attracted to the worst parts of humanity?",,,
Sandra Bender,@booksbybender,2022-11-20T23:39:32.000Z,"Sandra Bender
@booksbybender
·
1mReplying to 
@elonmusk
 that was me a minute ago",,,
Paul Scannella,@PaulScannella,2022-11-20T23:39:31.000Z,"Paul Scannella
@PaulScannella
·
1mReplying to 
@muskQu0tes
 and 
@elonmusk
Well thank you now if you would just reinstate true free speech it would be fantastic",,,
Robert Suddeth,@robert_suddeth,2022-11-20T23:39:31.000Z,"Robert Suddeth
@robert_suddeth
·
1mReplying to 
@elonmusk
Does Trump have to be extra nice to Elon now?!? LOL",,,
bird app was a mistske,@SomeGuyWithTwi,2022-11-20T23:39:30.000Z,"bird app was a mistske
@SomeGuyWithTwi
·
1mReplying to 
@Gt3Rsal
 @fasc1nate
 and 
@elonmusk
Bro has no idea what a joke is (I was making one)",,,
Mickey,@sheknoto,2022-11-20T23:39:30.000Z,"Mickey
@sheknoto
·
1mLove or hate 
@elonmusk
 Al you want. But, I’m actually having a great time being in twitter again. May not agree with everything but he has got mad respect from me ",,,
ABH,@ABHsLaw,2022-11-20T23:39:30.000Z,"ABH
@ABHsLaw
·
1mReplying to 
@elonmusk
 and 
@HappyJesse
Will you improve your relationship with your kids?",,,
resi,@Zek_yux_ings,2022-11-20T23:39:30.000Z,"resi
@Zek_yux_ings
·
1mReplying to 
@elonmusk
let's djt gave him time think about it.  because he this year very lot's more tired about world situation ",,,
Edoardo,@lp_edoardo,2022-11-20T23:39:30.000Z,"Edoardo
@lp_edoardo
·
1mReplying to 
@DuffBrews
 @DoctorK1114
 and 2 others
Not Twitter, but the ""hype"" on Musk/Twitter might drive up TSLA again. You know, there is a reason why he cultivates a cult following.
1",,,1
Merrimour The Red v.2,@MerrimourElRed,2022-11-20T23:39:30.000Z,"Merrimour The Red v.2
@MerrimourElRed
·
1mReplying to 
@Cobratate
 and 
@elonmusk
Smh ... but what is the G stand for?",,,
Tony Lags,@BrianDe62904231,2022-11-20T23:39:30.000Z,"Tony Lags
@BrianDe62904231
·
1mReplying to 
@elonmusk
@elonmusk
 lol your the best",,,
Randy Allen,@RSAPhoto,2022-11-20T23:39:30.000Z,"Randy Allen
@RSAPhoto
·
1mReplying to 
@elonmusk
 and 
@nypost
The great propaganda machine is breaking down!",,,
vel ann,@velann15,2022-11-20T23:39:30.000Z,"vel ann
@velann15
·
1mReplying to 
@elonmusk
 and 
@kanyewest
Можно отодвинуть подальше что не любишь , и беречь да то что любишь",,,
